,code,fromv,tov
0,4130,Salary–Town Administrator,Salary – Town Administrator
1,4130,Salary - Trustees of Trust Funds,Salary - Trustees of Trust Funds
2,4130,Telephone,Telephone
3,4130,Salary - Website Entry,Salary - Website Entry
4,4130,TOTAL,TOTAL
5,4130,Office Equipment,Office Equipment
6,4130,Contracted Services,Contracted Services
7,4130,Computer,Computer
8,4130,Postage,Postage
9,4130,Town Meeting,Town Meeting
10,4130,Salary - Selectmen,Salary - Selectmen
11,4130,Town Report,Town Report
12,4130,Workshops,Workshops
13,4130,Mileage,Mileage
14,4130,Salary - Moderator,Salary - Moderator
15,4130,Salary–Selectmen support Staff,Salary – Selectmen support Staff
16,4140,Telephone,Telephone
17,4140,Salary – Town Clerk,Salary – Town Clerk
18,4140,Salary – Ballot Clerks,Salary – Ballot Clerks
19,4140,Workshops,Workshops
20,4140,Election Expenses,Election Expenses
21,4140,Salary – Deputy Town Clerk,Salary – Deputy Town Clerk
22,4140,Records Preservation,Records Preservation
23,4140,Books/Publications,Books & Publications
24,4140,Salary - Town Clerk,Salary - Town Clerk
25,4140,Office Equipment/Supplies,Office Equipment & Supplies
26,4140,Salary - Ballot Clerks,Salary - Ballot Clerks
27,4140,Office Equipment & Supplies,Office Equipment & Supplies
28,4140,Salary - Deputy Town Clerk,Salary - Deputy Town Clerk
29,4140,Mileage,Mileage
30,4140,Software,Software
31,4140,TOTAL,TOTAL
32,4140,Software Support,Software Support
33,4140,Dues,Dues
34,4140,Postage,Postage
35,4140,Advertising,Advertising
36,4140,Salary Asst,Salary Asst
37,4141,TOTAL,TOTAL
38,4141,Salary,Salary
39,4141,Postage,Postage
40,4141,Advertising,Advertising
41,4141,Workshops & Seminars,Workshops & Seminars
42,4141,Software support,Software support
43,4141,Mileage,Mileage
44,4141,Software,Software
45,4141,Other,Other
46,4141,Supplies,Supplies
47,4150,Telephone,Telephone
48,4150,Office Equipment & Supplies,Office Equipment & Supplies
49,4150,Workshops,Workshops
50,4150,Salary – Deputy Treasurer,Salary – Deputy Treasurer
51,4150,Salary - Deputy Tax Collector,Salary - Deputy Tax Collector
52,4150,Salary Treasurer,Salary - Treasurer
53,4150,Workshops & Seminars,Workshops & Seminars
54,4150,Financial & Banking Supplies,Financial & Banking Supplies
55,4150,Records Preservation,Records Preservation
56,4150,Financial/Banking Supplies,Financial/Banking Supplies
57,4150,Salary - Tax Collector,Salary - Tax Collector
58,4150,Auditors,Auditors
59,4150,Office Equipment & Supplies,Office Equipment & Supplies
60,4150,Software,Software
61,4150,Association Dues,Association Dues
62,4150,Record Preservation,Record Preservation
63,4150,Bank Charges,Bank Charges
64,4150,Salary Deputy Treasurer,Salary - Deputy Treasurer
65,4150,Tax Collector Salary,Salary - Tax Collector
66,4150,TOTAL,TOTAL
67,4150,Recording Fees,Recording Fees
68,4150,Salary – Treasurer,Salary – Treasurer
69,4150,Software Support,Software Support
70,4150,Postage,Postage
71,4150,Deputy Tax Collector Salary,Salary - Deputy Tax Collector
72,4150,Mileage Reimbursement,Mileage Reimbursement
73,4151,TOTAL,TOTAL
74,4151,Salary - Secretary,Salary - Secretary
75,4151,Advertising,Advertising
76,4151,Office Equipment & Supplies,Office Equipment & Supplies
77,4151,Workshops,Workshops
78,4151,Mileage,Mileage
79,4151,Mileage Reimbursement,Mileage Reimbursement
80,4151,Office Equipment & Supplies,Office Equipment & Supplies
81,4151,Secretary,Secretary
82,4152,TOTAL,TOTAL
83,4152,Deeds,Deeds
84,4152,Utilities,Utilities
85,4152,Software Support,Software Support
86,4152,Postage,Postage
87,4152,Office Equipment & Supplies,Office Equipment & Supplies
88,4152,Tax Maps,Tax Maps
89,4152,Software,Software
90,4152,Equipment/Supplies,Equipment & Supplies
91,4153,2020 budget 10K added by town meeting,2020 budget 10K added by town meeting
92,4153,TOTAL,TOTAL
93,4153,Legal,Legal
94,4155,Retirement,Retirement
95,4155,Other,Other (such as FICA)
96,4155,Other (such as FICA),Other (such as FICA)
97,4155,TOTAL,TOTAL
98,4191,Telephone,Telephone
99,4191,Office Equipment & Supplies,Office Equipment & Supplies
100,4191,Public Hearings,Public Hearings
101,4191,Printing & Office Supplies,Printing & Office Supplies
102,4191,Equipment,Equipment
103,4191,Computer Services,Computer Services
104,4191,Books & Publications,Books & Publications
105,4191,Workshops & Seminars,Workshops & Seminars
106,4191,Dues & Memberships,Dues & Memberships
107,4191,Salary - ZEO,Salary - ZEO
108,4191,Secretary,Salary - Secretary
109,4191,Secretary Wages,Salary - Secretary
110,4191,Professional Services,Professional Services
111,4191,Tech Support,Tech Support
112,4191,Mileage,Mileage
113,4191,Association Dues,Association Dues
114,4191,Supplies,Supplies
115,4191,Travel,Travel
116,4191,TOTAL,TOTAL
117,4191,Recording Fees,Recording Fees
118,4191,Printing,Printing
119,4191,Salary - Secretary,Salary - Secretary
120,4191,Postage,Postage
121,4191,Advertising,Advertising
122,4191,Books and Publications,Books & Publications
123,4194,TOTAL,TOTAL
124,4194,Electric,Electric
125,4194,Maintenance supplies & Equipment,Maintenance Supplies & Equipment
126,4194,Heating Fuel,Heating Fuel
127,4194,Salaries,Salaries
128,4194,Other,Other
129,4194,Electricity,Electricity
130,4195,Cemeteries,Cemeteries
131,4195,TOTAL,TOTAL
132,4196,TOTAL,TOTAL
133,4196,Liability/WorkerComp/Unemployment,Liability/WorkerComp/Unemployment
134,4196,"# $5,266.51 employee contribution","# $5,266.51 employee contribution"
135,4196,Liability/WorkerComp/ Unemployment,Liability/Workers Comp/Unemployment
136,4196,Contributions,Contributions
137,4196,Health Insurance,Health Insurance
138,4196,Health Insurance#,Health Insurance
139,4196,Liability/Workers Comp/Unemployment,Liability/Workers Comp/Unemployment
140,4197,Advertising & Dues,Advertising & Dues
141,4197,TOTAL,TOTAL
142,4210,Salary – Secretary,Salary – Secretary
143,4210,Telephone,Telephone
144,4210,Salary - Chief,Salary - Chief
145,4210,Equipment,Equipment
146,4210,Radar Certification,Radar Certification
147,4210,Salary - PT Officers,Salary - PT Officers
148,4210,Training,Training
149,4210,Salary - Sergeant,Salary - Sergeant
150,4210,Vehicle Maintence,Vehicle Maintenance
151,4210,Radar Recertification,Radar Recertification
152,4210,Salary - SGT,Salary - Sergeant
153,4210,Software,Software
154,4210,Vehicle Maintenance,Vehicle Maintenance
155,4210,Uniforms,Uniforms
156,4210,Radio Maintenance,Radio Maintenance
157,4210,Supplies,Supplies
158,4210,TOTAL,TOTAL
159,4210,Salary - Secretary,Salary - Secretary
160,4210,Dues,Dues
